brute force dfs
6x6 - 0,03 ms
8x8 - 0,14 ms
11x11 - 7,84 ms | 3,41
13x13 - 104,68 ms | 88,53
15x15 - 605,86 ms | 456,76 ms
20x20 - 128014,44 ms | 113217,37 ms
22x22 - 471614,21 ms (max) | 384163,28 ms

sym 6x6 - 0,04 ms | 0,04
sym 8x8 - 0,62 ms | 0,49
sym 11x11 - 15,60 ms | 11,43
sym 13x13 - 103,91 ms | 48,34
sym 15x15 - 5915,59 ms | 1932,16 ms
sym 20x20 - 240145,88 ms | 123729,86 ms
sym 21x21 - brak | 1635767,33 ms
sym 22x22 - 3480977,25 ms (poza limitem)


brute force bfs
6x6 - 0,22 ms | 0,06
8x8 - 8,48 ms | 0,42
11x11 - 6547,78 ms | 9,82 ms
13x13 - 1569853,20 ms | 1002,20 ms
15x15 - brak | 3233,11 ms
16x16 - brak | 319555,77 ms
17x17 - brak | 20140,97 ms
18x18 - brak | 342673,21 ms
19x19 - brak | 394048,60 ms
20x20 - brak | crash


sym 6x6 - 0,22 ms | 0,14
sym 8x8 - 8,28 ms | 1,25
sym 11x11 - 6323,13 ms | 25,10 ms
sym 13x13 - 1496882,01 ms | 100,66 ms
15x15 - brak | 4970,63 ms
16x16 - brak | 124,78 ms
17x17 - brak | 256455,87 ms
18x18 - brak | 266383,67 ms
19x19 - brak | crash




brute force best search
6x6 - 0,23 ms | 0,15
8x8 - 1,36 ms | 0,73
11x11 - 27,78 ms | 24,25
13x13 - 397,62 ms | 372,93 ms
15x15 - 3703,31 ms | 3251,82 ms
18x18 - 279235,83 ms | 223849,15 ms
19x19 - 146943,50 ms (max) | 130620,32 ms


sym 6x6 - 0,38 ms | 0,46
sym 8x8 - 5,54 ms | 3,88
sym 11x11 - 136,49 ms | 110,02 ms
sym 13x13 - 874,27 ms | 388,28 ms
sym 15x15 - 28204,86 ms | 15129,18 ms
sym 17x17 - 208882,81 ms | 190194,76 ms
sym 18x18 - 386523,98 ms (max) | 337630.97 ms



